text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive
this starbucks is convenient and like most of the other establishments delivers a similar experience i find it kind of funny that it s right next door to a dunkin donuts but maybe that s a benefit for those of us who don t want to pay for a scone made from organic power berries harvested from the heart of the jungles of expensivecoffeebeanland,neutral,negative,0.5057080743772369,False,0.5057080743772369,0.1815851286058297,0.3127067970169333
not up to the high standards of service that most starbucks are know for i ordered a triple grande caramel mach and when i got it it felt like only two thirds full i was in a hurry so i didn t complain as i should have as i was leaving i stopped to go to the restroom and a pregnant young woman coming out warned me there was no toilet paper i went into the other restroom and it was also out of paper and dirty very disconcerting,neutral,negative,0.807367851522654,False,0.807367851522654,0.1225793076160725,0.0700528408612733
for the most part this location does a decent job in delivering good temperature appropriate food beverages on many occasions they ve forgotten to give napkins condiments and or handed items out of the window one by one rather than putting everything into a bag i know there s a pandemic going on and shortages on supply but let s think logically and give the customers what they need,neutral,negative,0.5450584943081361,False,0.5450584943081361,0.3187509752270977,0.1361905304647662
i go here all the time and there is literally never the same employees very confusing not sure if it s a training store or what sadly my cloud macchiato was completely wrong today even more sad i expected it because my orders have been messed up in the past every employee i ve come in contact with is super nice though,neutral,negative,0.762466388470271,False,0.762466388470271,0.0711660446942367,0.1663675668354922
as others has said this is by far one of the slowest locations i ve ever been at one person working taking orders and working as a cashier the majority of my time in the drive thru was listening to her taking orders a definite need for more help or training my frappe was very good but melted a little while i waited to be served,neutral,negative,0.697296049963332,False,0.697296049963332,0.2548707890257256,0.0478331610109422
at the drive thru was packed and slow the employee working the drive thru was slow and i had to ask for stir sticks stoppers for the drinks that was odd but not too bad what was bad you ask having to ask for my change i handed her my cash and was expecting almost an entire dollar in change she took my money and said thank you have a nice day my response after starting at her for a few seconds may i have my change confused look from her uhm yeah uhm how much was it again i don t know if you expected the change as a tip or just had a brain fart but seriously give me my change you didn t deserve a tip after making me wait as you screwed up my order took your time on my order and then neglected to give me change i ll skip a return to this location at any time of the day,neutral,negative,0.7858360103640726,False,0.7858360103640726,0.1531943782710065,0.0609696113649208
used to be one of my favorites but a fair number of the staff aren t as friendly as the previous employees i like their product but half of the starbucks attraction is atmosphere and if employees are grumpy it ruins the vibe,neutral,negative,0.4795889667363479,False,0.4795889667363479,0.2474063188281785,0.2730047144354736
disappointed when i got my vanilla bean frap i asked for extra carmel and i didn t get one drop of carmel the person in drive thru really needs to listen to the customers order and they didn t have enough green tea,neutral,negative,0.7589032021211418,False,0.7589032021211418,0.1614824751175191,0.0796143227613389
when i m driving on the this is our stop to make to stretch the legs use el ba o and get a drink it s more about the strategic location than the actual location it s usually dirty on the floor the service is at a minimum and it is average on speed too bad it s not known for the better i hope they raise the bar soon this does not mean that the employees don t care who knows only they do but it does mean that it is sorely lacking when it comes to other more cheerful and clean starbucks,neutral,negative,0.4585574320891015,False,0.4585574320891015,0.3773923133764825,0.1640502545344159
got a vanilla iced latte with oat milk a chai tea late and a caramel br l e latte they gave me an extremely small cup for the latte and it was still about the cups were also sticky,neutral,negative,0.6474194936979534,False,0.6474194936979534,0.1534836144282837,0.1990968918737629
