text,actual_intensity_score,predicted_intensity_score,predicted_intensity_label
worst morning service ever. rude! my drink is never correct and i have to end up going inside to get the correct one i paid for. the drive through line takes foreverrr. won't be back i'll drive to carmel to get my fix now,-0.92488,-0.7106033976260047,Strong Negative
"this is an ok starbucks, but the job got done. depending when you come parking can get hectic because the lot is small. sometimes it's hard to find a table on the weekends. however, my order came out good, despite them never calling my name to tell me my sandwich was ready so it was kind of cold by the time i ate it. otherwise, the staff seemed pretty friendly. despite it being late in the morning i felt like there was still a decent amount of food items left as some starbucks run out quickly. i'll probably be back.",0.38544,0.4454474277325534,Positive
"slowly but surely i'm going back into a normal routine. and part of that normal routine sometimes involves a drive thru for coffee instead of a scale, grinder, and french press. this starbucks location has been closed for about a month due to the pandemic and prior to this it was probably my favorite local 'bucks. so i'm glad to have made a return today. the baristas are generally very friendly and always very efficient. they do a great job keeping the drive thru moving quickly. it's particularly important that this drive thru moves fast because this parking lot is a nightmare. my coffee order was placed and received in a total of 1.5 minutes. i mean...that's impressive. the cafe is very small and so this is an in-n-out location primarily. i'm glad to see the baristas are all wearing masks right now and that they have strict procedures to maintain social distancing compliance. also super cool to find that starbucks has extended redemption period for birthday rewards! i got to use my birthday reward to treat my husband to a ~ridiculous~ ~indulgent~ ~dessert coffee~ (iced venti caramel macchiato) weeks after my bday. that's right, babe, you just got callllllled out. **please note my husband is still a manly dude that mostly drinks black coffee. he appreciates the subtle nuances in beans. he is a particular connoisseur of beans from latin american countries and his favorite way to enjoy coffee is in an aero press. but yes, he digs an iced caramel macchiato sometimes. it's fun to feel safe going back to starbucks again!",0.99928,0.662522981087899,Strong Positive
"had to have my daily starbucks! it's not for luxury it's a necessity!! love this store since it's so close to my house. clean store, yummy drinks & a nice crews! until next time,...probably tomorrow!",0.97428,0.4838936441921998,Positive
"they used to be so great, now the cafe is consistently closed, and mobile order is usually unavailable. expect long wait times no matter what time of the day you come",-0.006999999999999951,-0.10470150853139941,Neutral
"i visit this starbucks a couple times a week--i only use this one because of convenience on my way to work. it is consistently the slowest starbucks i have ever visited. it often takes 10 minutes or more in the drive through. they are in absolutely no rush. in addition, half the time i order they have run out of whatever i'm ordering. if you are crunched for time, you may want to drive out of your way to visit another--you'll probably save time in the long run.",-0.19935999999999998,-0.2927062818762526,Negative
"one of my favorite starbucks around. lots of parking, lots of places to sit (especially outside) and love the leather chairs and fireplace inside! the baristas are always friendly, shockingly unlike some other starbucks. always clean too!",0.96896,1.0,Strong Positive
i like this starbucks because it's generally less busy than the others in the area. i normally don't have a problem getting a table and the wi-fi usually works.,0.53204,0.14173978011334745,Neutral
"i love starbucks. loyal customer since their first startups. however, i am consistently disappointed with this location. they are extremely understaffed. this morning, it took a total of 20 minutes, to order and receive my coffee. i am aware i can do mobile order for quicker turnaround. however, it baffles me they don't hire more staff to aide in expediting customers wait times. the staff behind the counter is doing the best they can, overwhelmed and swamped with orders, even snapping at customers. it's a fantastic location, which draws many customers, seemingly at all hours of the day. hire more staff to accommodate the demand. otherwise be prepared to wait in packed room with college kids on laptops, and irritated job goers patiently waiting for their morning buzz.",0.05640000000000006,-0.008283948120142413,Neutral
great location. friendly people. they remember me and my family. even what drinks we like. that's awesome.,0.97252,1.0,Strong Positive
i felt like this was a starbucks claim at a trailer park! very entertaining staff! if you want a show i'd recommend going in and watching the tattooed toothless baristas trying to figure out how to brew coffee. don't order from here they don't know anything!,-0.28452,-0.19170124409285147,Neutral
"everyone is complaining about the parking. me too. the issue is not just that there's only a tiny lot, but that the surrounding streets all have parking bans or permit parking only, so there's nowhere to go for overflow parking. the parking lot is too tiny to reasonably fill this coffee shop, assuming about 2 people to a car. there's ample seating but barely any parking. there isn't even any metered parking nearby. but to add insult to injury, this place isn't exactly easily accessible by any form of transportation. i'm a walker, and a septa user. this location is along a big street with fast traffic, and the lot is between the sidewalk and the door...not friendly to walkers. it's very near the septa station but the walk from the station to the starbucks isn't a friendly one. other than that, this place is decent. nice employees, decent decor. but seriously...i'd like to see them do something about making this location more friendly to people trying to actually get to it, whether by car or by foot.",-0.16032,0.18087355537084562,Neutral
i love this starbucks. it is great for studying and all of the baristas are really friendly and kind. i love coming here to work on homework and anything else i need to do. i would definitely recommend this starbucks to anyone in the area,0.99092,0.9321109549998091,Strong Positive
this is the worst starbucks. the last two wines i have been here they have screwed up my order. last time they didn't put syrup in my frap and this time they gave me a mocha frap instead of a salted caramel. not again! wasted 11 dollars on something i didn't like or want!!!!,-0.9388,-1.0,Strong Negative
"i absolutely hate writing bad reviews. i feel like i always give an establishment multiple chances before i would ever resort to this. but avoid this location at all costs. there clearly is a problem at this location considering the only thing they are consistent about is being understaffed. i feel bad for the managers and the baristas because i'm sure the turnover rate at this location is high and probably the problem is lying somewhere else. i don't know, but it would be really nice to actually get decent service at my local starbucks. today the line was wrapped around the building per usual and i wanted to go inside to buy a few cups for gifts. that didn't happen because they had closed the establishment due to being understaffed. speedway starbucks .... please do better!",-0.58128,-0.4471591669426296,Negative
this starbucks location is very slow compared to all other locations i've been to. they need to have a little more urgency because their drive thru lines get insanely backed up.,-0.28968,-0.21657469539905883,Negative
