text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive
this starbucks is convenient and like most of the other establishments delivers a similar experience i find it kind of funny that it s right next door to a dunkin donuts but maybe that s a benefit for those of us who don t want to pay for a scone made from organic power berries harvested from the heart of the jungles of expensivecoffeebeanland,neutral,negative,0.5057080743772369,False,0.5057080743772369,0.1815851286058297,0.3127067970169333
located on the intersection at magazine and washington is this great starbucks location being on the intersection there are plenty of parking options available through out your visit there the line is always people long no matter what time i go but they usually manage to go through it pretty quickly which is nice on my last visit i wanted to try the gingerbread latte and i had a free birthday drink so when i placed my order i requested both of those the woman who took my order okayed it and along i went i paid with a different guy who ended up charging me for the drink which was supposed to free i explained that i told the other woman it was meant to be the free birthday special but he just laughed and said you have to tell me not her well she s the one that took my order so she should ve been the one to put me through the register too so that was annoying they just had no communication between the staff members and how he shrugged it off was irritating anyways i got my gingerbread latte and took a seat now this place is always busy so don t expect your ideal seating if you come too late in the day i ended up moving three times as new more preferred places to sit became available the downside to the seating is that there aren t many powerpoint available and starbucks has to know that people come to work here while they drink their coffee not a clever move the gingerbread latte was just okay it didn t taste like gingerbread at all so i was pretty disappointed but i managed to finish it off despite the lack of taste there is a wide variety of seating inside with wall seating tabled seating and a few couch seating which is nice there is also outdoor seating but during this weather it isn t recommended but would give you views of the street which is a nice distraction from the hustle and bustle from inside overall a beautiful location but the lack of communication and consideration the staff have between themselves and the customers made the visit spoiled,neutral,positive,0.5571972918836056,False,0.1014422250216282,0.3413604830947661,0.5571972918836056
out of green tea in the middle of the day when it s and sunny you re better than that starbucks on the plus side after waiting minutes the barista who brought it out was super friendly,neutral,positive,0.8028093862811003,False,0.0968354461862677,0.1003551675326318,0.8028093862811003
i came for the wi fi as pjs coffee has lacking wifi power just a few shops down the road there was ample seating and my regular coffee was promptly handed to me creamer bar was well stocked clean floor and loud music like all the other homogonize starbucks you have ever been too,neutral,positive,0.4586269696166318,False,0.382673680256128,0.1586993501272402,0.4586269696166318
busy and central location makes this a coffee stop and social event this location is open longer than the close by peets or the other starbucks in the la cumbre mall across the street the staff always keeps a good pace and sets a high standard for the slower starbucks,neutral,positive,0.5476252267159509,False,0.1215840823524448,0.3307906909316041,0.5476252267159509
drive thru is super convenient but can be slow especially during the weekday mornings seems understaffed at times but so far havent had an issue with an order,neutral,positive,0.4176056325748007,False,0.3419181008791732,0.240476266546026,0.4176056325748007
not up to the high standards of service that most starbucks are know for i ordered a triple grande caramel mach and when i got it it felt like only two thirds full i was in a hurry so i didn t complain as i should have as i was leaving i stopped to go to the restroom and a pregnant young woman coming out warned me there was no toilet paper i went into the other restroom and it was also out of paper and dirty very disconcerting,neutral,negative,0.807367851522654,False,0.807367851522654,0.1225793076160725,0.0700528408612733
for the most part this location does a decent job in delivering good temperature appropriate food beverages on many occasions they ve forgotten to give napkins condiments and or handed items out of the window one by one rather than putting everything into a bag i know there s a pandemic going on and shortages on supply but let s think logically and give the customers what they need,neutral,negative,0.5450584943081361,False,0.5450584943081361,0.3187509752270977,0.1361905304647662
i go here all the time and there is literally never the same employees very confusing not sure if it s a training store or what sadly my cloud macchiato was completely wrong today even more sad i expected it because my orders have been messed up in the past every employee i ve come in contact with is super nice though,neutral,negative,0.762466388470271,False,0.762466388470271,0.0711660446942367,0.1663675668354922
as others has said this is by far one of the slowest locations i ve ever been at one person working taking orders and working as a cashier the majority of my time in the drive thru was listening to her taking orders a definite need for more help or training my frappe was very good but melted a little while i waited to be served,neutral,negative,0.697296049963332,False,0.697296049963332,0.2548707890257256,0.0478331610109422
we stopped in for a iced tea on a very warm day customer service was good my tea was good as well the store felt very warm inside and we ended up going out and sitting in the car with air on to cool off,neutral,positive,0.5381647669185526,False,0.3302084145785378,0.1316268185029094,0.5381647669185526
thank you doth such a place share such an idea with a complement reader seeks a very refined polite female acquaintance who may further an incomplete introduction to society though discreetly background,neutral,positive,0.739307099288728,False,0.1843711121695874,0.0763217885416846,0.739307099288728
it s a starbucks you know what their coffee tastes like meh and what their prices are like high so i ll tell you why this became my starbucks they recently renovated the seating and it s a great study spot reliable wifi big tables in the middle a comfy couch in the corner and seating all alongside the window read convenient outlets and people watching huge improvement to the awkward tiny circular tables they had before it can get randomly crowded sometimes why any family would decide to bring all their children here for an afternoon or why a mom would bring teens to drink frappucinos is beyond me the barristas are nice one of them made fun of me for having been there every day for a week when writing the paper that wouldn t die i appreciated that he noticed i still prefer independent coffee shops like citadelle or toast but when i m too lazy to go that far this will do plus i m a sucker for that passion iced tea in the summer get it half sweetened it s better and for it s pretty good,neutral,positive,0.6702998168317127,False,0.0781789006142224,0.2515212825540649,0.6702998168317127
this is my favorite starbucks ever thanks to the barista her name starts with a c i believe who made my drink a double shot on ice perfectly and without a second thought or even an eye roll she seemed happy to be there the manager at the counter however named jeff was absolutely rude to me he acted visibly annoyed with me while taking my order and had a mocking tone to his voice i could tell he didn t want to deal with me i was polite as can be but he definitely woke up on the wrong side of the bed seems to me like the barista and manager should switch positions she is much more customer friendly than he is and served me with sweet hospitality and a warm smile she is the only reason i will return,neutral,positive,0.5190811744651761,False,0.4406124312270787,0.0403063943077452,0.5190811744651761
your typical starbucks a good stop on a nice day while shopping in beautiful suburban square there is plenty of outdoor seating available to enjoy the sun while you self medicate your caffeine addiction,neutral,positive,0.8784610548745131,False,0.0176623111125159,0.1038766340129709,0.8784610548745131
at the drive thru was packed and slow the employee working the drive thru was slow and i had to ask for stir sticks stoppers for the drinks that was odd but not too bad what was bad you ask having to ask for my change i handed her my cash and was expecting almost an entire dollar in change she took my money and said thank you have a nice day my response after starting at her for a few seconds may i have my change confused look from her uhm yeah uhm how much was it again i don t know if you expected the change as a tip or just had a brain fart but seriously give me my change you didn t deserve a tip after making me wait as you screwed up my order took your time on my order and then neglected to give me change i ll skip a return to this location at any time of the day,neutral,negative,0.7858360103640726,False,0.7858360103640726,0.1531943782710065,0.0609696113649208
free wifi free power for devices over priced drinks exactly what you would expect,neutral,positive,0.7285315834244479,False,0.146293462470643,0.125174954104909,0.7285315834244479
used to be one of my favorites but a fair number of the staff aren t as friendly as the previous employees i like their product but half of the starbucks attraction is atmosphere and if employees are grumpy it ruins the vibe,neutral,negative,0.4795889667363479,False,0.4795889667363479,0.2474063188281785,0.2730047144354736
oh how i love this starbucks mainly because of where it s located today was my first time to this location it s been long overdue for starbucks in the neighborhood it s very clean nice decor plenty of seats inside and out overall a nice space to enjoy the riverfront the employees were welcoming and friendly they seemed very knowledgeable of the drinks however they were very busy lines were long and the service was slow i ordered the usual grande carmel macchiato it did not taste as if it was made properly i told the barista it tasted funny and they gladly made it again this time it tasted a bit better lol although i did not have the best service today i will go back to give them a second chance if you live in the area definitely give them a try im sure they ll get better with time,neutral,positive,0.8344393578802743,False,0.0474393626113484,0.1181212795083773,0.8344393578802743
i love starbucks and this is two miles from my home but the parking has become impossible last two times i ve been no parking drove across the street to an independent equally good coffee shop i want to be a loyal customer but this location is making it hard don t do business coffee here anymore either no quiet tables for two the staff here is great the space is clean but it needs a bigger space and parking lot,neutral,positive,0.4406928693030948,False,0.2075401928611185,0.3517669378357866,0.4406928693030948
disappointed when i got my vanilla bean frap i asked for extra carmel and i didn t get one drop of carmel the person in drive thru really needs to listen to the customers order and they didn t have enough green tea,neutral,negative,0.7589032021211418,False,0.7589032021211418,0.1614824751175191,0.0796143227613389
not my favorite venue but was in a hurry and needed a caffeine fix starbucks starbucks i never see any differences except location service even the staff seems the same expensive but good coffee what s a girl to do caffeine fixes can reach critical levels,neutral,positive,0.5561929204729027,False,0.1965661188628545,0.2472409606642427,0.5561929204729027
standard issue starbucks coffee tasted about the same as most of the other starbucks i ve been to the seating area inside and outside is relatively large no drive thru prices were about the same and the friendliness factor at starbucks is generally bordering weird as it is,neutral,positive,0.4808525893814649,False,0.1701268757362054,0.3490205348823295,0.4808525893814649
decent latte great quick drive thru what else can you say,neutral,positive,0.8406482733051154,False,0.0055617645439705,0.1537899621509141,0.8406482733051154
not a lot of seating but they get my orders out in a timely manner service is good and it is clean,neutral,positive,0.826579230900635,False,0.0279279390939164,0.1454928300054484,0.826579230900635
when i m driving on the this is our stop to make to stretch the legs use el ba o and get a drink it s more about the strategic location than the actual location it s usually dirty on the floor the service is at a minimum and it is average on speed too bad it s not known for the better i hope they raise the bar soon this does not mean that the employees don t care who knows only they do but it does mean that it is sorely lacking when it comes to other more cheerful and clean starbucks,neutral,negative,0.4585574320891015,False,0.4585574320891015,0.3773923133764825,0.1640502545344159
great drinks like any starbucks and great customer service but the bugs flying around are so annoying i can t study do work in the store i have to sit outside because the gnats flies are so present,neutral,positive,0.8860826928226264,False,0.0488222161545571,0.0650950910228163,0.8860826928226264
got a vanilla iced latte with oat milk a chai tea late and a caramel br l e latte they gave me an extremely small cup for the latte and it was still about the cups were also sticky,neutral,negative,0.6474194936979534,False,0.6474194936979534,0.1534836144282837,0.1990968918737629
people working at pm on a thursday one of whom is training we went inside to order our two drinks a honey almondmilk flat white and a mocha frappuccino it took at least minutes to get our drinks now they do have a drive through they had some pre orders and of those people were training but the trainee made our drinks and there were only drinks picked up while we were there it s obvious their priority is with the drive through customers and this is something all of the starbucks seem to do at least in my recent experience their specialty drinks are tasty but overall starbucks brewed coffee is horribly over roasted read burned still when i can t locate a local coffeehouse and there is a starbucks nearby when i need a coffee fix i ll go,neutral,negative,0.6900820765996225,False,0.6900820765996225,0.1701810196231815,0.1397369037771957
a convenient star for this part of the world with access from both street road and second street pike its proximity to some of my favorite restaurants aroi thai blue sage and house of pho make it a perfect quick apr s dinner stop for hot brew on the way to the movies or home it is not the most attractive franchise unit in the area but it serves a functional purpose unlike a box of chocolates you always know what you are going to get,neutral,positive,0.8552179606080706,False,0.0867735235749469,0.0580085158169822,0.8552179606080706
was super excited to have this location here since i could hit the drive by before work to grab coffee i did go inside and it s very small the entrance is shared with the bank however the first time going the service was super slow and there were only customers in line the one barista messed up my friends drink it was remade and she loved it so she didn t complain but my friend had to remind the women to give her a cookie she ordered my nd time going was very pleasant and i used the drive thru very convenient and look forward to coming back,neutral,negative,0.5518644704453807,False,0.5518644704453807,0.1702461225941204,0.2778894069604989
it s as good as any starbucks mediocre at best,neutral,positive,0.5844967526424858,False,0.2154935030495742,0.20000974430794,0.5844967526424858
this starbucks gets my order correct times out of which is great but this is by far the slowest starbucks i have ever been to i ve gone to this one fairly regularly since they opened and my experience is always the same when the drive through is busy you could wait as long as minutes from ordering to actually getting to the window going inside does not make too much of a difference either this is not to say that the staff is slow they are always working and moving as fast as possible the problem is that they do not have enough staff or kitchen space to keep up with the volume of patrons my recommendation put in a mobile order before you leave your house and it might be ready by the time you get there,neutral,negative,0.525607138597015,False,0.525607138597015,0.1324906592496887,0.3419022021532961
first of all i love starbucks my husband and i were looking for coffee the day we left reno we figured any starbucks is the same i was disappointed with this location and had to wait over minutes for two coffees the way it was set up it was awkward to say the least it seemed we had to push chairs out of the way to walk out the one and only door we had to enter the workers were friendly enough but it just seem to take forever and was awkward,neutral,negative,0.5814390656283548,False,0.5814390656283548,0.1168863503589633,0.3016745840126819
i love starbucks but i avoid this one it has some of the slowest service i have ever experienced at a starbucks i was there days ago the guy who was doing the drinks loves to talk to the costumers and his co workers which is fine i just noticed he does a lot of talking and no working too he will stop working and just start talking and talking there was only one person ahead of me and it still took almost minutes to get my drink i also got over charged at one point the price on the menu was lower then the price i was charged i added nothing special to my drink i was going to ask for an explanation or my money back but there was a big line at that point so i let it go small coffee shop not much sitting music can be too loud sometimes on the plus side there is a sweet cece s and a chipotle right next door that s a bonus,neutral,negative,0.884215935488761,False,0.884215935488761,0.0791341780188023,0.0366498864924367
it s my local starbucks the staff is always very friendly and has more to say than what do you want has a drive through if it wasnt out of my way i d visit more often man i wish there was another one closer to my house can we get a starbucks at the beach,neutral,positive,0.8743196627515021,False,0.0596431846961366,0.0660371525523613,0.8743196627515021
extremely long wait but grateful for the drive thru staff are pleasant got my drinks right,neutral,positive,0.6379420954594158,False,0.227128366625688,0.134929537914896,0.6379420954594158
good overall coffee service notes the main entrance is the same for both the bank right starbucks left my flat white was good but not great and my one wish would be that they add a clover brewing system,neutral,positive,0.7156970458402396,False,0.075575603519455,0.2087273506403053,0.7156970458402396
i rate this starbucks stars instead of because as another reviewer stated this starbucks tends to be consistently busy and loud on the inside i would not recommend having a meeting interview or phone call here the drive thru is very busy as well and is one of the slower drive thrus i have used at a starbucks the staff is below average and there seems to be a fair amount of attrition i have received more wrong orders here than at other starbucks it is clean on the inside and has nice outdoor seating the large windows to the south make the afternoon sunshine coming in nice,neutral,positive,0.4861360997524647,False,0.0928148082193316,0.4210490920282035,0.4861360997524647
i m used to quality service came back from europe where baristas are awesome i drive about minutes to get to this starbucks and their service is getting worse every time i come here two days in a row i asked for a brownie and chocolate chip cookie at pm and they are out of it those are two main things a coffee shop should have coffee was good tho so i will be taking my business else where can t go to red lion and blvd or the one inside target which is the worst of them all probably try abington area next time,neutral,negative,0.6617850741039276,False,0.6617850741039276,0.1732095881820332,0.1650053377140392
small location inside a rest area but with a full menu the milk and sweeteners are done by the baristas not at a station so make sure to ask for what you need service was slower than at dedicated locations but still fairly friendly not bad for a quick pick me up on the road,neutral,positive,0.5667976062502409,False,0.1409799396086603,0.2922224541410988,0.5667976062502409
incredibly busy constantly i came here a few times during a trip to tulane and visited during the week and on a weekend and it seemed like there was always a line out the door i think because of this the service wasn t the friendliest but i can understand given the sheer volume of orders the outside patio is really nice and would be a great place to work or study i just wish there would have been space the few times i was there,neutral,positive,0.6553846445974734,False,0.0474281884140278,0.2971871669884988,0.6553846445974734
dan is the man at this drive thru actually most of the staff that service the window are friendly personable attentive accurate and prompt but dan adds entertainment to the list good coffee and other drinks not liking the new items offered through la boulange or however you spell it most of the pastries need to be heated to taste good as they are refrigerated or stale tasting otherwise on the plus side they seem to have more offerings than in the past as far as pastry variety quality of food is no where near panera but tops on beverages you will encounter long lines at windows on rush hour parking lot is tough and not driver friendly use caution,neutral,positive,0.626268992812551,False,0.0790798916083454,0.2946511155791035,0.626268992812551
this is my morning go to coffee spot before the gym absolutely love james he always has great customer service however the past few times i ve been my coffee is half full i always order a grande and it feels so light i didn t take a single sip from this coffee and finally checked it this time i don t want to sound rude at the drive thru asking for it to be a full cup like i know there s space for whip but my goodness,neutral,negative,0.5042776410427302,False,0.5042776410427302,0.1712922280715977,0.3244301308856721
starbucks on the washu danforth campus bauer hall the business school this means a few things changing hours based on the school calendar when school is not in session it may be closed or open for a short amount of time unpredictable hours if the school has a special event it may be closed lack of seating space during peak hours like lunch time though there are a lot of tables it shares the space with the b school cafe which has a lot of undergraduate and graduate students there all the time you can use the app to pay but can t redeem rewards or order ahead of time for pickup wonderful staff,neutral,positive,0.6773535467269675,False,0.1981199366762774,0.124526516596755,0.6773535467269675
this starbucks is cramped every time i have been in there the coffee doesn t taste as fresh as other starbucks the staff is friendly but it s certainly not a first choice for me,neutral,positive,0.4419111423627672,False,0.1318441930480325,0.4262446645892003,0.4419111423627672
frequently get lukewarm coffee they always remake the coffee when i have time to go in and ask but this is starbucks they should have hot coffee at all times,neutral,negative,0.6139104894145405,False,0.6139104894145405,0.2091804908682309,0.1769090197172284
quick service very clean i ordered a blonde cappuccino and after the foam i had less then half a drink that s was really disappointing flavor was good just wish i could have had a full cup for the price of starbucks drinks,neutral,negative,0.37169364446731,False,0.37169364446731,0.3493943921986451,0.2789119633340448
i guess it was ok i am just use to the staff at my usual sb s remembering me spoiled yes the staff was nice and the coffee exceptional i paid with my iphone app that s always fun i will go back to my usual starbucks from now on,neutral,positive,0.532983119437398,False,0.1637628718935789,0.3032540086690231,0.532983119437398
oh man did these guys get a new staff things seem to be served so much slower than in the past i live across the street so it s super convenient and i wouldn t stop coming back but man i have to give myself like extra minutes additional now compared with the old staff,neutral,positive,0.4200707945289959,False,0.349853596980767,0.2300756084902371,0.4200707945289959
frequent here there is usually a line in the drive thru and subsequent wait today was a it long though i was the only car in line customer service was poor today as well when i did get my non specialized cold beverage the cashier did not look at me and leaned it our the window half tilted this rubbed me the wrong way service is normally better perhaps he was having a bad day inside the store it is clean and cozy the bathrooms are also very clean,neutral,negative,0.7437951695227558,False,0.7437951695227558,0.1469125020062325,0.1092923284710115
spacious clean starbucks located next to st joe s baristas were friendly but a little inefficient people in line and minutes to get my drink hate to see what would happen if the line really started to back up not sure how long this store has been around but it seems pretty new strange hours as it closed at on the day that i visited let s not stay open too late now we might pull in too many college kids in need of a study break,neutral,positive,0.5552110340461862,False,0.187920346596215,0.2568686193575987,0.5552110340461862
solid stars it was pretty clean to be so populated and they served regular starbucks and did not try to rip me off unlike the starbucks on south broad street,neutral,positive,0.6398799379433,False,0.1654567308097679,0.1946633312469319,0.6398799379433
this starbucks in horsham is staffed by friendly baristas who aim to please and you do not get too much of the upsell dont you want something to eat today schtick the drive through window is convenient but it is a pain to get in and outof the parking lot due to the traffic nothing special but nothing wrong with this location,neutral,positive,0.600817212972055,False,0.1942164772969432,0.2049663097310016,0.600817212972055
i love starbucks coffee and not all the stores are the same this location is nice because it does have a drive thru window if you just want to get it on the run inside is pretty clean and kept up not very big but there are outdoor tables if you want to sit outside i always ask for my drink extra hot and for some reason this location never has been able to do that for me the parking lot is not very big and is usually crowded since they do share it with other businesses i usually park in the raleys lot and walk over,neutral,positive,0.6440047139760288,False,0.037248874592544,0.3187464114314271,0.6440047139760288
