text,actual_sentiment,predicted_sentiment
this is my favorite starbucks the service is incredibly fast even when they are croweded with a long line the staff never falters and drinks are always excellent and come out quickly if there s something wrong with your drink they will make you another one without giving you a problem about it lots of seating inside and a few tables outside the baristas are excellent and they often times remember my drink as soon as i walk in the door my only gripe is that the music in the evening gets a too loud for a coffee shop and the staff likes to play weird s music perhaps because the staff likes it the staff also seems annoyed when you ask them to turn the music down this shouldn t be club starbucks,positive,positive
very good overall located where the burger king used to be and they have a clover brewing system too,positive,positive
the refreshers so so good and feels lite i can break a tooth chomping on the ice to get to the dehydrated strawberries floating around in the drink i also shake the empty cup viciously until every drop is gone but i don t care the drinks flavors are on point and it s a nice change of pace from a warm coffee plus they ll always give pup cups starbucks is wonderful,positive,positive
i have been goi g to this location at least times a week before covid started and also have been using the online app lately the service has been less than par i work in the service industry and understand the struggles the service at this location has drastically declined in the last few months i will be looking elsewhere for my coffee now sorry sometimes the truth hurts,negative,negative
i had to sit down and write this review because after a few times of having my order be wrong in the drive thru i couldn t not say something i get the easiest order you can get trenta iced green tea unsweet no water yes i could go to the one downtown but it s hard to park and i have my little one in the car with me and it s just convenient to drive thru i don t even mind the consistently long waits at the drive thru min because i don t have to get out of my car with a kid in pj s i do however get frustrated with my order being wrong and then still having to go inside to change it today they got the teas right but gave me venti a few days ago i got one mango iced tea and one green tea a few days before that i had to go inside because they gave me someone s tea from the mobile order and she got my drive thru order i ve been to so many super busy starbucks and they are hustling to get everyone through in a quick manner and with the right order this one seems to need more espresso or something to speed them up and also some drilling on getting the orders right in spite of being busy nothings worse than going through the drive thru and then having to go inside to fix your order i am very polite and don t usually make a big deal about it but this needs to be handled,negative,negative
before i asked for non fat frappuccino and no whip but they put whip cream on it and then they restarted it but ended up giving me light frappuccino which had the light syrup and tasted really bad i just threw it away today i asked for non fat latte with no whip the same barista added whip and when i told him i don t want whip he did not do the latte again just scooped some of the whip off the top when i asked him are you sure this has no whip cream in it he said it is a drink that has a lot of chocolate in it and a lot of fat in it but i assure you it does not have whip cream in it i know what i m doing and i calculate the calories of chocolate and everything else wow lots of attitude for so much money put into a cup of coffee,negative,negative
having been here quite a few times i suppose it s time for a review i can t say enough good things about the staff i witnessed the longest line known to man this morning and the staff handled it cheerfully there were no signs of stress just the notion that they work as a well oiled machine i never had an order come out wrong but i did knock off a star for the parking lot it s pretty rough especially in the rush hour where everyone is trying to get their caffeine fix,positive,positive
rude and bad service left my drink on the table and never called out my name even when i stood in front of the girl she continued to ignore and failed to mention my drink was waiting i hated spending a single cent at but got a gift card to burn would not go back to this store,negative,negative
it was so bad experience for me because i want to take my birthday gift drink on my birthday but they said that we can not give it we are not starbucks if you are not starbucks why your brand name is starbucks and you sell starbucks coffee and stuff,negative,negative
this is my go to starbucks while i am at work their employees are always friendly and accurately take your order no matter how long the drive thru line the employees handle it pretty quickly i have on occasion tried their pre made sandwiches my favorite is the egg salad the arugula adds a nice depth to this classic there is outside seating overall a great location,positive,positive
i usually have bad experiences here so i go to the goleta location but today i went here for the sake of convenience i am so pleased to say that morgan was the sweetest and provided me with the best service ever amidst a rough finals week she definitely made my day by being so kind and making sure she got my order right i appreciated it so much thank you morgan,positive,positive
the lady works in the counter for making drinks in the morning on sunday seems to be very mean or racist i said to the male employee that i wanted the drink to have no ice and he wrote it on the cup it was understandable that she mistook it for having ice but after i asked her to take the ice out she didn t even say a word with the mean face and took the ice out silently i said thank you to her and she still didn t want to say a word to me with the mean face but she said have a great day with a large smiley face to the white customers before and after me i m wondering if this is the overall starbuck employees attitudes to people with different color,negative,negative
