text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive,mixed_detected,middle_subtype
this starbucks is convenient and like most of the other establishments delivers a similar experience i find it kind of funny that it s right next door to a dunkin donuts but maybe that s a benefit for those of us who don t want to pay for a scone made from organic power berries harvested from the heart of the jungles of expensivecoffeebeanland,neutral,negative,0.5057080743772369,False,0.5057080743772369,0.1815851286058297,0.3127067970169333,True,mixed_candidate
drive thru is super convenient but can be slow especially during the weekday mornings seems understaffed at times but so far havent had an issue with an order,neutral,positive,0.4176056325748007,False,0.3419181008791732,0.240476266546026,0.4176056325748007,True,mixed_candidate
i go here all the time and there is literally never the same employees very confusing not sure if it s a training store or what sadly my cloud macchiato was completely wrong today even more sad i expected it because my orders have been messed up in the past every employee i ve come in contact with is super nice though,neutral,negative,0.762466388470271,False,0.762466388470271,0.0711660446942367,0.1663675668354922,True,mixed_candidate
this is my favorite starbucks ever thanks to the barista her name starts with a c i believe who made my drink a double shot on ice perfectly and without a second thought or even an eye roll she seemed happy to be there the manager at the counter however named jeff was absolutely rude to me he acted visibly annoyed with me while taking my order and had a mocking tone to his voice i could tell he didn t want to deal with me i was polite as can be but he definitely woke up on the wrong side of the bed seems to me like the barista and manager should switch positions she is much more customer friendly than he is and served me with sweet hospitality and a warm smile she is the only reason i will return,neutral,positive,0.5190811744651761,False,0.4406124312270787,0.0403063943077452,0.5190811744651761,True,mixed_candidate
at the drive thru was packed and slow the employee working the drive thru was slow and i had to ask for stir sticks stoppers for the drinks that was odd but not too bad what was bad you ask having to ask for my change i handed her my cash and was expecting almost an entire dollar in change she took my money and said thank you have a nice day my response after starting at her for a few seconds may i have my change confused look from her uhm yeah uhm how much was it again i don t know if you expected the change as a tip or just had a brain fart but seriously give me my change you didn t deserve a tip after making me wait as you screwed up my order took your time on my order and then neglected to give me change i ll skip a return to this location at any time of the day,neutral,negative,0.7858360103640726,False,0.7858360103640726,0.1531943782710065,0.0609696113649208,True,mixed_candidate
oh how i love this starbucks mainly because of where it s located today was my first time to this location it s been long overdue for starbucks in the neighborhood it s very clean nice decor plenty of seats inside and out overall a nice space to enjoy the riverfront the employees were welcoming and friendly they seemed very knowledgeable of the drinks however they were very busy lines were long and the service was slow i ordered the usual grande carmel macchiato it did not taste as if it was made properly i told the barista it tasted funny and they gladly made it again this time it tasted a bit better lol although i did not have the best service today i will go back to give them a second chance if you live in the area definitely give them a try im sure they ll get better with time,neutral,positive,0.8344393578802743,False,0.0474393626113484,0.1181212795083773,0.8344393578802743,True,mixed_candidate
when i m driving on the this is our stop to make to stretch the legs use el ba o and get a drink it s more about the strategic location than the actual location it s usually dirty on the floor the service is at a minimum and it is average on speed too bad it s not known for the better i hope they raise the bar soon this does not mean that the employees don t care who knows only they do but it does mean that it is sorely lacking when it comes to other more cheerful and clean starbucks,neutral,negative,0.4585574320891015,False,0.4585574320891015,0.3773923133764825,0.1640502545344159,True,mixed_candidate
this starbucks gets my order correct times out of which is great but this is by far the slowest starbucks i have ever been to i ve gone to this one fairly regularly since they opened and my experience is always the same when the drive through is busy you could wait as long as minutes from ordering to actually getting to the window going inside does not make too much of a difference either this is not to say that the staff is slow they are always working and moving as fast as possible the problem is that they do not have enough staff or kitchen space to keep up with the volume of patrons my recommendation put in a mobile order before you leave your house and it might be ready by the time you get there,neutral,negative,0.525607138597015,False,0.525607138597015,0.1324906592496887,0.3419022021532961,True,mixed_candidate
small location inside a rest area but with a full menu the milk and sweeteners are done by the baristas not at a station so make sure to ask for what you need service was slower than at dedicated locations but still fairly friendly not bad for a quick pick me up on the road,neutral,positive,0.5667976062502409,False,0.1409799396086603,0.2922224541410988,0.5667976062502409,True,mixed_candidate
this is my morning go to coffee spot before the gym absolutely love james he always has great customer service however the past few times i ve been my coffee is half full i always order a grande and it feels so light i didn t take a single sip from this coffee and finally checked it this time i don t want to sound rude at the drive thru asking for it to be a full cup like i know there s space for whip but my goodness,neutral,negative,0.5042776410427302,False,0.5042776410427302,0.1712922280715977,0.3244301308856721,True,mixed_candidate
oh man did these guys get a new staff things seem to be served so much slower than in the past i live across the street so it s super convenient and i wouldn t stop coming back but man i have to give myself like extra minutes additional now compared with the old staff,neutral,positive,0.4200707945289959,False,0.349853596980767,0.2300756084902371,0.4200707945289959,True,mixed_candidate
frequent here there is usually a line in the drive thru and subsequent wait today was a it long though i was the only car in line customer service was poor today as well when i did get my non specialized cold beverage the cashier did not look at me and leaned it our the window half tilted this rubbed me the wrong way service is normally better perhaps he was having a bad day inside the store it is clean and cozy the bathrooms are also very clean,neutral,negative,0.7437951695227558,False,0.7437951695227558,0.1469125020062325,0.1092923284710115,True,mixed_candidate
