text,actual_sentiment,predicted_sentiment
this starbucks is always quick and efficient. the baristas are so friendly here. they always make my drink perfect and if i'm looking for something new they always have the perfect suggestion.,positive,positive
"this is not a starbucks that i frequent because it's not normally on my way to where i'm going. however i have been here a few times and it's pretty consistent. the staff is friendly and i appreciate that. the drive thru is kind of a cluster because of the limited space, but so are most starbucks drive thrus!",positive,positive
i love this little starbucks. the baristas are very friendly and my order is always accurately made. the drive thru service is also very good. there is not a lot of room for a car line so a sign indicates that you can't be waiting in line past it. this is a for safety reasons so try not to get too bent out of shape :),positive,positive
"horrible service. they no longer have or try to cater to allergies. manager tried to refuse me service. even when i tried to explain i'm ordering for my husband her attitude was horrible and her voice extremely condescending when she responded ' well, it's probably not safe for you because we have almond milk on everything, it's everywhere. to which i repeated that it was for my husband. if you have almond milk like, every where as you say, maybe you need a health inspector come by and see why you aren't cleaning up your products.",negative,negative
wow. worst starbucks ever? i had them remake a drink and they gave me an empty drink! i wanted to go back and get my money refunded but it's inconvenient for me as a customer and they are probably one of the only starbucks that does not have a drive thru store.,negative,negative
"located on the intersection at magazine and washington is this great starbucks location. being on the intersection, there are plenty of parking options available through out your visit there. the line is always 10+ people long, no matter what time i go but they usually manage to go through it pretty quickly, which is nice. on my last visit, i wanted to try the gingerbread latte and i had a free birthday drink, so when i placed my order i requested both of those, the woman who took my order ""okayed"" it and along i went. i paid with a different guy who ended up charging me for the drink which was supposed to free, i explained that i told the other woman it was meant to be the free birthday special but he just laughed and said ""you have to tell me, not her"". well, she's the one that took my order so she should've been the one to put me through the register too. so that was annoying, they just had no communication between the staff members and how he shrugged it off was irritating. anyways, i got my gingerbread latte and took a seat. now this place is always busy so don't expect your ideal seating if you come too late in the day. i ended up moving three times as new, more preferred places to sit became available. the downside to the seating is that there aren't many powerpoint available and starbucks has to know that people come to work here while they drink their coffee. not a clever move. the gingerbread latte was just okay. it didn't taste like gingerbread at all so i was pretty disappointed but i managed to finish it off despite the lack of taste. there is a wide variety of seating inside with wall seating, tabled seating, and a few couch seating, which is nice. there is also outdoor seating but during this weather, it isn't recommended but would give you views of the street which is a nice distraction from the hustle and bustle from inside. overall, a beautiful location but the lack of communication and consideration the staff have between themselves and the customers made the visit spoiled.",neutral,neutral
"after hastily driving to work on morning, i realized i left my breakfast sitting on my counter. i quickly placed an online order for pickup for a bagel here. i luckily had rewards for use so it was free! (cha ching!) i pulled up to a huge line (obviously starbucks is packed in the morning). but i parked and went inside. my bagel was ready shortly after. i realized i didn't have cream cheese (silly me, i didn't realize cream cheese was extra!) i asked the lady behind the counter and she said ""don't worry about paying this time, everyone's just tryin to make it to work on time"" and gave me some cream cheese. simple gesture, but i just thought it was really nice of her. great customer service starbucks!",positive,positive
"this starbucks is usually top notch. i'm not sure if it was just a bad day or if they don't have the hang of drivethru service yet. we had to give our order three times to three separate people, and the order was still wrong. my chai was so sweet i couldn't drink it, it was only filled up part of the way, and it lacked the three shots of espresso that i asked for three times. if i go back here anytime soon i am not using the drivethru because it was chaos.",neutral,negative
"comfortable leather (looking) chairs. it made a good stop for an after movie drink and snack. the croissant was not very good, especially after having a excellent one a couple days before. the oatmeal raisin cookie was pretty good. i am not a starbucks acolyte, and it always seems strange that everyone around me seems to be in this highly efficient and exact routine when i go to a starbucks. they have tazo tea, and the chai wasn't bad.",negative,positive
this is a really good location for a coffee shop. the seating area is large and very comfortable with free wifi. there is also a large table with 10 chairs around it and i often see people come in for informal meetings. the staff is always very pleasant - true rarity. a great place to hang out!!!,positive,positive
