text,actual_sentiment,predicted_sentiment,confidence,correct_prediction,prob_negative,prob_neutral,prob_positive,mixed_detected,middle_subtype
located on the intersection at magazine and washington is this great starbucks location being on the intersection there are plenty of parking options available through out your visit there the line is always people long no matter what time i go but they usually manage to go through it pretty quickly which is nice on my last visit i wanted to try the gingerbread latte and i had a free birthday drink so when i placed my order i requested both of those the woman who took my order okayed it and along i went i paid with a different guy who ended up charging me for the drink which was supposed to free i explained that i told the other woman it was meant to be the free birthday special but he just laughed and said you have to tell me not her well she s the one that took my order so she should ve been the one to put me through the register too so that was annoying they just had no communication between the staff members and how he shrugged it off was irritating anyways i got my gingerbread latte and took a seat now this place is always busy so don t expect your ideal seating if you come too late in the day i ended up moving three times as new more preferred places to sit became available the downside to the seating is that there aren t many powerpoint available and starbucks has to know that people come to work here while they drink their coffee not a clever move the gingerbread latte was just okay it didn t taste like gingerbread at all so i was pretty disappointed but i managed to finish it off despite the lack of taste there is a wide variety of seating inside with wall seating tabled seating and a few couch seating which is nice there is also outdoor seating but during this weather it isn t recommended but would give you views of the street which is a nice distraction from the hustle and bustle from inside overall a beautiful location but the lack of communication and consideration the staff have between themselves and the customers made the visit spoiled,neutral,positive,0.5571972918836056,False,0.1014422250216282,0.3413604830947661,0.5571972918836056,False,neutral_candidate
out of green tea in the middle of the day when it s and sunny you re better than that starbucks on the plus side after waiting minutes the barista who brought it out was super friendly,neutral,positive,0.8028093862811003,False,0.0968354461862677,0.1003551675326318,0.8028093862811003,False,neutral_candidate
i came for the wi fi as pjs coffee has lacking wifi power just a few shops down the road there was ample seating and my regular coffee was promptly handed to me creamer bar was well stocked clean floor and loud music like all the other homogonize starbucks you have ever been too,neutral,positive,0.4586269696166318,False,0.382673680256128,0.1586993501272402,0.4586269696166318,False,neutral_candidate
busy and central location makes this a coffee stop and social event this location is open longer than the close by peets or the other starbucks in the la cumbre mall across the street the staff always keeps a good pace and sets a high standard for the slower starbucks,neutral,positive,0.5476252267159509,False,0.1215840823524448,0.3307906909316041,0.5476252267159509,False,neutral_candidate
not up to the high standards of service that most starbucks are know for i ordered a triple grande caramel mach and when i got it it felt like only two thirds full i was in a hurry so i didn t complain as i should have as i was leaving i stopped to go to the restroom and a pregnant young woman coming out warned me there was no toilet paper i went into the other restroom and it was also out of paper and dirty very disconcerting,neutral,negative,0.807367851522654,False,0.807367851522654,0.1225793076160725,0.0700528408612733,False,neutral_candidate
for the most part this location does a decent job in delivering good temperature appropriate food beverages on many occasions they ve forgotten to give napkins condiments and or handed items out of the window one by one rather than putting everything into a bag i know there s a pandemic going on and shortages on supply but let s think logically and give the customers what they need,neutral,negative,0.5450584943081361,False,0.5450584943081361,0.3187509752270977,0.1361905304647662,False,neutral_candidate
as others has said this is by far one of the slowest locations i ve ever been at one person working taking orders and working as a cashier the majority of my time in the drive thru was listening to her taking orders a definite need for more help or training my frappe was very good but melted a little while i waited to be served,neutral,negative,0.697296049963332,False,0.697296049963332,0.2548707890257256,0.0478331610109422,False,neutral_candidate
we stopped in for a iced tea on a very warm day customer service was good my tea was good as well the store felt very warm inside and we ended up going out and sitting in the car with air on to cool off,neutral,positive,0.5381647669185526,False,0.3302084145785378,0.1316268185029094,0.5381647669185526,False,neutral_candidate
thank you doth such a place share such an idea with a complement reader seeks a very refined polite female acquaintance who may further an incomplete introduction to society though discreetly background,neutral,positive,0.739307099288728,False,0.1843711121695874,0.0763217885416846,0.739307099288728,False,neutral_candidate
it s a starbucks you know what their coffee tastes like meh and what their prices are like high so i ll tell you why this became my starbucks they recently renovated the seating and it s a great study spot reliable wifi big tables in the middle a comfy couch in the corner and seating all alongside the window read convenient outlets and people watching huge improvement to the awkward tiny circular tables they had before it can get randomly crowded sometimes why any family would decide to bring all their children here for an afternoon or why a mom would bring teens to drink frappucinos is beyond me the barristas are nice one of them made fun of me for having been there every day for a week when writing the paper that wouldn t die i appreciated that he noticed i still prefer independent coffee shops like citadelle or toast but when i m too lazy to go that far this will do plus i m a sucker for that passion iced tea in the summer get it half sweetened it s better and for it s pretty good,neutral,positive,0.6702998168317127,False,0.0781789006142224,0.2515212825540649,0.6702998168317127,False,neutral_candidate
your typical starbucks a good stop on a nice day while shopping in beautiful suburban square there is plenty of outdoor seating available to enjoy the sun while you self medicate your caffeine addiction,neutral,positive,0.8784610548745131,False,0.0176623111125159,0.1038766340129709,0.8784610548745131,False,neutral_candidate
free wifi free power for devices over priced drinks exactly what you would expect,neutral,positive,0.7285315834244479,False,0.146293462470643,0.125174954104909,0.7285315834244479,False,neutral_candidate
used to be one of my favorites but a fair number of the staff aren t as friendly as the previous employees i like their product but half of the starbucks attraction is atmosphere and if employees are grumpy it ruins the vibe,neutral,negative,0.4795889667363479,False,0.4795889667363479,0.2474063188281785,0.2730047144354736,False,neutral_candidate
i have ordered a couple of times here and sometimes their coffee is good but on occasion you get a cup of milk with watered down coffee on one occasion i asked for a caramel macchiato and it tasted like milk with caramel no coffee whatsoever and i was disappointed because i love starbucks but overall it s a good way to grab a quick coffee if your on the go or if you re late and the next time i might ask for an extra shot in my macchiato happy eating,neutral,neutral,0.3992934730306694,True,0.3441485926755777,0.3992934730306694,0.2565579342937528,False,neutral_candidate
i love starbucks and this is two miles from my home but the parking has become impossible last two times i ve been no parking drove across the street to an independent equally good coffee shop i want to be a loyal customer but this location is making it hard don t do business coffee here anymore either no quiet tables for two the staff here is great the space is clean but it needs a bigger space and parking lot,neutral,positive,0.4406928693030948,False,0.2075401928611185,0.3517669378357866,0.4406928693030948,False,neutral_candidate
disappointed when i got my vanilla bean frap i asked for extra carmel and i didn t get one drop of carmel the person in drive thru really needs to listen to the customers order and they didn t have enough green tea,neutral,negative,0.7589032021211418,False,0.7589032021211418,0.1614824751175191,0.0796143227613389,False,neutral_candidate
